1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007DA8C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:59:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:59:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  16122
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:59:01 PM,%RH,78.696
11/1/24 11:59:01 PM,%RH,79.795
12/1/24 1:59:01 AM,%RH,80.343
12/1/24 3:59:01 AM,%RH,79.795
12/1/24 5:59:01 AM,%RH,80.888
12/1/24 7:59:01 AM,%RH,81.432
12/1/24 9:59:01 AM,%RH,69.104
12/1/24 11:59:01 AM,%RH,77.591
12/1/24 1:59:01 PM,%RH,71.401
12/1/24 3:59:01 PM,%RH,70.829
12/1/24 5:59:01 PM,%RH,73.108
12/1/24 7:59:01 PM,%RH,79.247
12/1/24 9:59:01 PM,%RH,79.795
12/1/24 11:59:01 PM,%RH,83.055
13/1/24 1:59:01 AM,%RH,85.198
13/1/24 3:59:01 AM,%RH,91.476
13/1/24 5:59:01 AM,%RH,94.025
13/1/24 7:59:01 AM,%RH,95.034
13/1/24 9:59:01 AM,%RH,93.01
13/1/24 11:59:01 AM,%RH,77.591
13/1/24 1:59:01 PM,%RH,74.238
13/1/24 3:59:01 PM,%RH,71.971
13/1/24 5:59:01 PM,%RH,86.259
13/1/24 7:59:01 PM,%RH,92.5
13/1/24 9:59:01 PM,%RH,96.536
13/1/24 11:59:01 PM,%RH,91.476
14/1/24 1:59:01 AM,%RH,90.445
14/1/24 3:59:01 AM,%RH,87.841
14/1/24 5:59:01 AM,%RH,90.961
14/1/24 7:59:01 AM,%RH,93.519
14/1/24 9:59:01 AM,%RH,91.476
14/1/24 11:59:01 AM,%RH,78.144
14/1/24 1:59:01 PM,%RH,70.829
14/1/24 3:59:01 PM,%RH,67.364
14/1/24 5:59:01 PM,%RH,85.729
14/1/24 7:59:01 PM,%RH,88.364
14/1/24 9:59:01 PM,%RH,76.479
14/1/24 11:59:01 PM,%RH,74.238
15/1/24 1:59:01 AM,%RH,77.591
15/1/24 3:59:01 AM,%RH,83.055
15/1/24 5:59:01 AM,%RH,89.927
15/1/24 7:59:01 AM,%RH,94.025
15/1/24 9:59:01 AM,%RH,91.476
15/1/24 11:59:01 AM,%RH,80.343
15/1/24 1:59:01 PM,%RH,71.971
15/1/24 3:59:01 PM,%RH,83.593
15/1/24 5:59:01 PM,%RH,84.664
15/1/24 7:59:01 PM,%RH,88.887
15/1/24 9:59:01 PM,%RH,92.5
15/1/24 11:59:01 PM,%RH,96.536
16/1/24 1:59:01 AM,%RH,94.531
16/1/24 3:59:01 AM,%RH,95.034
16/1/24 5:59:01 AM,%RH,93.519
16/1/24 7:59:01 AM,%RH,95.034
16/1/24 9:59:01 AM,%RH,95.537
16/1/24 11:59:01 AM,%RH,80.888
16/1/24 1:59:01 PM,%RH,78.696
16/1/24 3:59:01 PM,%RH,87.315
16/1/24 5:59:01 PM,%RH,90.445
16/1/24 7:59:01 PM,%RH,95.034
16/1/24 9:59:01 PM,%RH,96.536
16/1/24 11:59:01 PM,%RH,97.53
17/1/24 1:59:01 AM,%RH,98.517
17/1/24 3:59:01 AM,%RH,99.009
17/1/24 5:59:01 AM,%RH,99.499
17/1/24 7:59:01 AM,%RH,99.009
17/1/24 9:59:01 AM,%RH,95.537
17/1/24 11:59:01 AM,%RH,87.315
17/1/24 1:59:01 PM,%RH,88.887
17/1/24 3:59:01 PM,%RH,84.664
17/1/24 5:59:01 PM,%RH,85.729
17/1/24 7:59:01 PM,%RH,91.476
17/1/24 9:59:01 PM,%RH,96.536
17/1/24 11:59:01 PM,%RH,98.025
18/1/24 1:59:01 AM,%RH,97.034
18/1/24 3:59:01 AM,%RH,98.517
18/1/24 5:59:01 AM,%RH,98.025
18/1/24 7:59:01 AM,%RH,99.009
18/1/24 9:59:01 AM,%RH,96.037
18/1/24 11:59:01 AM,%RH,88.364
18/1/24 1:59:01 PM,%RH,86.788
18/1/24 3:59:01 PM,%RH,87.841
18/1/24 5:59:01 PM,%RH,91.989
18/1/24 7:59:01 PM,%RH,95.537
18/1/24 9:59:01 PM,%RH,96.536
18/1/24 11:59:01 PM,%RH,97.53
19/1/24 1:59:01 AM,%RH,96.536
19/1/24 3:59:01 AM,%RH,99.499
19/1/24 5:59:01 AM,%RH,98.517
19/1/24 7:59:01 AM,%RH,99.499
19/1/24 9:59:01 AM,%RH,99.499
19/1/24 11:59:01 AM,%RH,91.989
19/1/24 1:59:01 PM,%RH,89.927
19/1/24 3:59:01 PM,%RH,88.887
19/1/24 5:59:01 PM,%RH,93.519
19/1/24 7:59:01 PM,%RH,96.536
19/1/24 9:59:01 PM,%RH,96.536
19/1/24 11:59:01 PM,%RH,98.517
20/1/24 1:59:01 AM,%RH,99.009
20/1/24 3:59:01 AM,%RH,95.034
20/1/24 5:59:01 AM,%RH,97.53
20/1/24 7:59:01 AM,%RH,99.009
20/1/24 9:59:01 AM,%RH,98.025
20/1/24 11:59:01 AM,%RH,90.961
20/1/24 1:59:01 PM,%RH,87.315
20/1/24 3:59:01 PM,%RH,90.961
20/1/24 5:59:01 PM,%RH,94.025
20/1/24 7:59:01 PM,%RH,95.537
20/1/24 9:59:01 PM,%RH,98.025
20/1/24 11:59:01 PM,%RH,96.536
21/1/24 1:59:01 AM,%RH,98.517
21/1/24 3:59:01 AM,%RH,99.499
21/1/24 5:59:01 AM,%RH,99.009
21/1/24 7:59:01 AM,%RH,99.499
21/1/24 9:59:01 AM,%RH,98.517
21/1/24 11:59:01 AM,%RH,90.445
21/1/24 1:59:01 PM,%RH,81.432
21/1/24 3:59:01 PM,%RH,84.13
21/1/24 5:59:01 PM,%RH,89.408
21/1/24 7:59:01 PM,%RH,95.537
21/1/24 9:59:01 PM,%RH,97.53
21/1/24 11:59:01 PM,%RH,96.037
22/1/24 1:59:01 AM,%RH,99.009
22/1/24 3:59:01 AM,%RH,97.53
22/1/24 5:59:01 AM,%RH,99.009
22/1/24 7:59:01 AM,%RH,99.499
22/1/24 9:59:01 AM,%RH,98.025
22/1/24 11:59:01 AM,%RH,86.788
22/1/24 1:59:01 PM,%RH,87.315
22/1/24 3:59:01 PM,%RH,85.729
22/1/24 5:59:01 PM,%RH,87.315
22/1/24 7:59:01 PM,%RH,94.025
22/1/24 9:59:01 PM,%RH,97.53
22/1/24 11:59:01 PM,%RH,97.034
23/1/24 1:59:01 AM,%RH,98.025
23/1/24 3:59:01 AM,%RH,97.53
23/1/24 5:59:01 AM,%RH,95.034
23/1/24 7:59:01 AM,%RH,96.037
23/1/24 9:59:01 AM,%RH,92.5
23/1/24 11:59:01 AM,%RH,86.259
23/1/24 1:59:01 PM,%RH,86.259
23/1/24 3:59:01 PM,%RH,85.729
23/1/24 5:59:01 PM,%RH,90.445
23/1/24 7:59:01 PM,%RH,90.445
23/1/24 9:59:01 PM,%RH,95.537
23/1/24 11:59:01 PM,%RH,96.037
24/1/24 1:59:01 AM,%RH,97.034
24/1/24 3:59:01 AM,%RH,98.025
24/1/24 5:59:01 AM,%RH,97.53
24/1/24 7:59:01 AM,%RH,96.037
24/1/24 9:59:01 AM,%RH,84.664
24/1/24 11:59:01 AM,%RH,86.788
24/1/24 1:59:01 PM,%RH,78.144
24/1/24 3:59:01 PM,%RH,78.696
24/1/24 5:59:01 PM,%RH,83.055
24/1/24 7:59:01 PM,%RH,91.476
24/1/24 9:59:01 PM,%RH,94.025
24/1/24 11:59:01 PM,%RH,97.034
25/1/24 1:59:01 AM,%RH,85.729
25/1/24 3:59:01 AM,%RH,83.593
25/1/24 5:59:01 AM,%RH,90.445
25/1/24 7:59:01 AM,%RH,96.037
25/1/24 9:59:01 AM,%RH,88.364
25/1/24 11:59:01 AM,%RH,83.593
25/1/24 1:59:01 PM,%RH,81.975
25/1/24 3:59:01 PM,%RH,81.432
25/1/24 5:59:01 PM,%RH,88.364
25/1/24 7:59:01 PM,%RH,94.531
25/1/24 9:59:01 PM,%RH,96.037
25/1/24 11:59:01 PM,%RH,98.025
26/1/24 1:59:01 AM,%RH,98.025
26/1/24 3:59:01 AM,%RH,94.531
26/1/24 5:59:01 AM,%RH,95.537
26/1/24 7:59:01 AM,%RH,96.037
26/1/24 9:59:01 AM,%RH,94.025
26/1/24 11:59:01 AM,%RH,83.055
26/1/24 1:59:01 PM,%RH,71.971
26/1/24 3:59:01 PM,%RH,67.946
26/1/24 5:59:01 PM,%RH,73.674
26/1/24 7:59:01 PM,%RH,90.445
26/1/24 9:59:01 PM,%RH,93.519
26/1/24 11:59:01 PM,%RH,86.259
27/1/24 1:59:01 AM,%RH,70.255
27/1/24 3:59:01 AM,%RH,75.362
27/1/24 5:59:01 AM,%RH,85.729
27/1/24 7:59:01 AM,%RH,92.5
27/1/24 9:59:01 AM,%RH,91.476
27/1/24 11:59:01 AM,%RH,75.362
27/1/24 1:59:01 PM,%RH,70.829
27/1/24 3:59:01 PM,%RH,65.023
27/1/24 5:59:01 PM,%RH,64.434
27/1/24 7:59:01 PM,%RH,69.104
27/1/24 9:59:01 PM,%RH,67.946
27/1/24 11:59:01 PM,%RH,71.401
28/1/24 1:59:01 AM,%RH,74.238
28/1/24 3:59:01 AM,%RH,83.593
28/1/24 5:59:01 AM,%RH,89.927
28/1/24 7:59:01 AM,%RH,94.025
28/1/24 9:59:01 AM,%RH,90.445
28/1/24 11:59:01 AM,%RH,76.479
28/1/24 1:59:01 PM,%RH,67.364
28/1/24 3:59:01 PM,%RH,65.611
28/1/24 5:59:01 PM,%RH,70.829
28/1/24 7:59:01 PM,%RH,86.788
28/1/24 9:59:01 PM,%RH,91.476
28/1/24 11:59:01 PM,%RH,94.531
29/1/24 1:59:01 AM,%RH,85.198
29/1/24 3:59:01 AM,%RH,77.591
29/1/24 5:59:01 AM,%RH,83.593
29/1/24 7:59:01 AM,%RH,87.841
29/1/24 9:59:01 AM,%RH,90.445
29/1/24 11:59:01 AM,%RH,84.664
29/1/24 1:59:01 PM,%RH,71.401
29/1/24 3:59:01 PM,%RH,78.696
29/1/24 5:59:01 PM,%RH,82.516
29/1/24 7:59:01 PM,%RH,89.408
29/1/24 9:59:01 PM,%RH,91.476
29/1/24 11:59:01 PM,%RH,89.927
30/1/24 1:59:01 AM,%RH,71.971
30/1/24 3:59:01 AM,%RH,71.401
30/1/24 5:59:01 AM,%RH,80.888
30/1/24 7:59:01 AM,%RH,88.887
30/1/24 9:59:01 AM,%RH,87.841
30/1/24 11:59:01 AM,%RH,77.591
30/1/24 1:59:01 PM,%RH,74.238
30/1/24 3:59:01 PM,%RH,73.108
30/1/24 5:59:01 PM,%RH,77.591
30/1/24 7:59:01 PM,%RH,81.432
30/1/24 9:59:01 PM,%RH,92.5
30/1/24 11:59:01 PM,%RH,91.476
31/1/24 1:59:01 AM,%RH,91.476
31/1/24 3:59:01 AM,%RH,89.927
31/1/24 5:59:01 AM,%RH,93.519
31/1/24 7:59:01 AM,%RH,90.961
31/1/24 9:59:01 AM,%RH,85.729
31/1/24 11:59:01 AM,%RH,75.362
31/1/24 1:59:01 PM,%RH,66.197
31/1/24 3:59:01 PM,%RH,70.255
31/1/24 5:59:01 PM,%RH,75.362
31/1/24 7:59:01 PM,%RH,83.055
31/1/24 9:59:01 PM,%RH,89.408
31/1/24 11:59:01 PM,%RH,96.037
1/2/24 1:59:01 AM,%RH,95.034
1/2/24 3:59:01 AM,%RH,96.037
1/2/24 5:59:01 AM,%RH,94.531
1/2/24 7:59:01 AM,%RH,94.025
1/2/24 9:59:01 AM,%RH,77.591
1/2/24 11:59:01 AM,%RH,75.362
1/2/24 1:59:01 PM,%RH,75.921
1/2/24 3:59:01 PM,%RH,77.036
1/2/24 5:59:01 PM,%RH,84.13
1/2/24 7:59:01 PM,%RH,90.445
1/2/24 9:59:01 PM,%RH,94.025
1/2/24 11:59:01 PM,%RH,94.025
2/2/24 1:59:01 AM,%RH,96.536
2/2/24 3:59:01 AM,%RH,93.519
2/2/24 5:59:01 AM,%RH,96.037
2/2/24 7:59:01 AM,%RH,95.537
2/2/24 9:59:01 AM,%RH,93.01
2/2/24 11:59:01 AM,%RH,84.664
2/2/24 1:59:01 PM,%RH,73.674
2/2/24 3:59:01 PM,%RH,72.54
2/2/24 5:59:01 PM,%RH,81.432
2/2/24 7:59:01 PM,%RH,91.476
2/2/24 9:59:01 PM,%RH,96.037
2/2/24 11:59:01 PM,%RH,96.037
3/2/24 1:59:01 AM,%RH,95.034
3/2/24 3:59:01 AM,%RH,93.519
3/2/24 5:59:01 AM,%RH,86.259
3/2/24 7:59:01 AM,%RH,88.887
3/2/24 9:59:01 AM,%RH,88.364
3/2/24 11:59:01 AM,%RH,83.593
3/2/24 1:59:01 PM,%RH,81.432
3/2/24 3:59:01 PM,%RH,81.975
3/2/24 5:59:01 PM,%RH,85.729
3/2/24 7:59:01 PM,%RH,91.989
3/2/24 9:59:01 PM,%RH,95.034
3/2/24 11:59:01 PM,%RH,95.034
4/2/24 1:59:01 AM,%RH,96.536
4/2/24 3:59:01 AM,%RH,90.961
4/2/24 5:59:01 AM,%RH,91.989
4/2/24 7:59:01 AM,%RH,91.476
4/2/24 9:59:01 AM,%RH,92.5
4/2/24 11:59:01 AM,%RH,85.198
4/2/24 1:59:01 PM,%RH,73.108
4/2/24 3:59:01 PM,%RH,66.781
4/2/24 5:59:01 PM,%RH,83.593
4/2/24 7:59:01 PM,%RH,93.519
4/2/24 9:59:01 PM,%RH,95.034
4/2/24 11:59:01 PM,%RH,97.034
5/2/24 1:59:01 AM,%RH,96.037
5/2/24 3:59:01 AM,%RH,89.927
5/2/24 5:59:01 AM,%RH,81.432
5/2/24 7:59:01 AM,%RH,86.259
5/2/24 9:59:01 AM,%RH,86.259
5/2/24 11:59:01 AM,%RH,72.54
5/2/24 1:59:01 PM,%RH,62.658
5/2/24 3:59:01 PM,%RH,56.024
5/2/24 5:59:01 PM,%RH,68.525
5/2/24 7:59:01 PM,%RH,85.198
5/2/24 9:59:01 PM,%RH,89.408
5/2/24 11:59:01 PM,%RH,94.025
6/2/24 1:59:01 AM,%RH,94.531
6/2/24 3:59:01 AM,%RH,89.927
6/2/24 5:59:01 AM,%RH,87.315
6/2/24 7:59:01 AM,%RH,84.664
6/2/24 9:59:01 AM,%RH,80.888
6/2/24 11:59:01 AM,%RH,62.658
6/2/24 1:59:01 PM,%RH,52.326
6/2/24 3:59:01 PM,%RH,45.403
6/2/24 5:59:01 PM,%RH,49.203
6/2/24 7:59:01 PM,%RH,66.197
6/2/24 9:59:01 PM,%RH,85.729
6/2/24 11:59:01 PM,%RH,84.13
7/2/24 1:59:01 AM,%RH,69.68
7/2/24 3:59:01 AM,%RH,67.946
7/2/24 5:59:01 AM,%RH,74.801
7/2/24 7:59:01 AM,%RH,79.247
7/2/24 9:59:01 AM,%RH,70.255
7/2/24 11:59:01 AM,%RH,60.867
7/2/24 1:59:01 PM,%RH,45.403
7/2/24 3:59:01 PM,%RH,42.838
7/2/24 5:59:01 PM,%RH,67.946
7/2/24 7:59:01 PM,%RH,82.516
7/2/24 9:59:01 PM,%RH,92.5
7/2/24 11:59:01 PM,%RH,86.259
8/2/24 1:59:01 AM,%RH,80.888
8/2/24 3:59:01 AM,%RH,78.144
8/2/24 5:59:01 AM,%RH,70.829
8/2/24 7:59:01 AM,%RH,66.197
8/2/24 9:59:01 AM,%RH,64.434
8/2/24 11:59:01 AM,%RH,57.244
8/2/24 1:59:01 PM,%RH,46.04
8/2/24 3:59:01 PM,%RH,67.946
8/2/24 5:59:01 PM,%RH,75.921
8/2/24 7:59:01 PM,%RH,88.887
8/2/24 9:59:01 PM,%RH,91.476
8/2/24 11:59:01 PM,%RH,92.5
9/2/24 1:59:01 AM,%RH,79.795
9/2/24 3:59:01 AM,%RH,87.315
9/2/24 5:59:01 AM,%RH,88.364
9/2/24 7:59:01 AM,%RH,87.841
9/2/24 9:59:01 AM,%RH,80.343
9/2/24 11:59:01 AM,%RH,70.829
9/2/24 1:59:01 PM,%RH,59.063
9/2/24 3:59:01 PM,%RH,73.674
9/2/24 5:59:01 PM,%RH,81.975
9/2/24 7:59:01 PM,%RH,89.408
9/2/24 9:59:01 PM,%RH,90.961
9/2/24 11:59:01 PM,%RH,94.531
10/2/24 1:59:01 AM,%RH,89.408
10/2/24 3:59:01 AM,%RH,87.841
10/2/24 5:59:01 AM,%RH,91.989
10/2/24 7:59:01 AM,%RH,90.961
10/2/24 9:59:01 AM,%RH,87.841
10/2/24 11:59:01 AM,%RH,73.108
10/2/24 1:59:01 PM,%RH,59.666
10/2/24 3:59:01 PM,%RH,49.203
10/2/24 5:59:01 PM,%RH,77.591
10/2/24 7:59:01 PM,%RH,91.989
10/2/24 9:59:01 PM,%RH,94.025
10/2/24 11:59:01 PM,%RH,96.037
11/2/24 1:59:01 AM,%RH,96.037
11/2/24 3:59:01 AM,%RH,94.531
11/2/24 5:59:01 AM,%RH,90.445
11/2/24 7:59:01 AM,%RH,92.5
11/2/24 9:59:01 AM,%RH,93.01
11/2/24 11:59:01 AM,%RH,75.921
11/2/24 1:59:01 PM,%RH,59.063
11/2/24 3:59:01 PM,%RH,51.082
11/2/24 5:59:01 PM,%RH,49.83
11/2/24 7:59:01 PM,%RH,74.238
11/2/24 9:59:01 PM,%RH,87.315
11/2/24 11:59:01 PM,%RH,77.036
12/2/24 1:59:01 AM,%RH,79.247
12/2/24 3:59:01 AM,%RH,78.144
12/2/24 5:59:01 AM,%RH,83.055
12/2/24 7:59:01 AM,%RH,86.259
12/2/24 9:59:01 AM,%RH,77.591
12/2/24 11:59:01 AM,%RH,57.244
12/2/24 1:59:01 PM,%RH,42.838
12/2/24 3:59:01 PM,%RH,38.945
12/2/24 5:59:01 PM,%RH,41.547
12/2/24 7:59:01 PM,%RH,77.036
12/2/24 9:59:01 PM,%RH,89.408
12/2/24 11:59:01 PM,%RH,93.01
13/2/24 1:59:01 AM,%RH,80.343
13/2/24 3:59:01 AM,%RH,80.343
13/2/24 5:59:01 AM,%RH,80.888
13/2/24 7:59:01 AM,%RH,84.664
13/2/24 9:59:01 AM,%RH,85.198
13/2/24 11:59:01 AM,%RH,69.68
13/2/24 1:59:01 PM,%RH,49.83
13/2/24 3:59:01 PM,%RH,44.124
13/2/24 5:59:01 PM,%RH,65.611
13/2/24 7:59:01 PM,%RH,82.516
13/2/24 9:59:01 PM,%RH,90.445
13/2/24 11:59:01 PM,%RH,92.5
14/2/24 1:59:01 AM,%RH,85.729
14/2/24 3:59:01 AM,%RH,86.259
14/2/24 5:59:01 AM,%RH,83.593
14/2/24 7:59:01 AM,%RH,87.315
14/2/24 9:59:01 AM,%RH,85.729
14/2/24 11:59:01 AM,%RH,66.781
14/2/24 1:59:01 PM,%RH,54.798
14/2/24 3:59:01 PM,%RH,43.482
14/2/24 5:59:01 PM,%RH,65.023
14/2/24 7:59:01 PM,%RH,85.729
14/2/24 9:59:01 PM,%RH,91.476
14/2/24 11:59:01 PM,%RH,94.025
15/2/24 1:59:01 AM,%RH,95.034
15/2/24 3:59:01 AM,%RH,93.01
15/2/24 5:59:01 AM,%RH,92.5
15/2/24 7:59:01 AM,%RH,87.841
15/2/24 9:59:01 AM,%RH,86.788
15/2/24 11:59:01 AM,%RH,73.108
15/2/24 1:59:01 PM,%RH,58.458
15/2/24 3:59:01 PM,%RH,54.182
15/2/24 5:59:01 PM,%RH,67.946
15/2/24 7:59:01 PM,%RH,82.516
15/2/24 9:59:01 PM,%RH,90.961
15/2/24 11:59:01 PM,%RH,95.034
16/2/24 1:59:01 AM,%RH,79.247
16/2/24 3:59:01 AM,%RH,78.696
16/2/24 5:59:01 AM,%RH,83.593
16/2/24 7:59:01 AM,%RH,84.664
16/2/24 9:59:01 AM,%RH,80.343
16/2/24 11:59:01 AM,%RH,63.251
16/2/24 1:59:01 PM,%RH,51.705
16/2/24 3:59:01 PM,%RH,44.124
16/2/24 5:59:01 PM,%RH,59.666
16/2/24 7:59:01 PM,%RH,72.54
16/2/24 9:59:01 PM,%RH,90.445
16/2/24 11:59:01 PM,%RH,90.961
17/2/24 1:59:01 AM,%RH,89.408
17/2/24 3:59:01 AM,%RH,87.315
17/2/24 5:59:01 AM,%RH,91.476
17/2/24 7:59:01 AM,%RH,90.961
17/2/24 9:59:01 AM,%RH,85.729
17/2/24 11:59:01 AM,%RH,71.971
17/2/24 1:59:01 PM,%RH,59.063
17/2/24 3:59:01 PM,%RH,64.434
17/2/24 5:59:01 PM,%RH,76.479
17/2/24 7:59:01 PM,%RH,86.788
17/2/24 9:59:01 PM,%RH,92.5
17/2/24 11:59:01 PM,%RH,95.034
18/2/24 1:59:01 AM,%RH,96.037
18/2/24 3:59:01 AM,%RH,95.034
18/2/24 5:59:01 AM,%RH,97.034
18/2/24 7:59:01 AM,%RH,98.517
18/2/24 9:59:01 AM,%RH,89.927
18/2/24 11:59:01 AM,%RH,80.343
18/2/24 1:59:01 PM,%RH,76.479
18/2/24 3:59:01 PM,%RH,78.144
18/2/24 5:59:01 PM,%RH,82.516
18/2/24 7:59:01 PM,%RH,87.315
18/2/24 9:59:01 PM,%RH,94.531
18/2/24 11:59:01 PM,%RH,96.536
19/2/24 1:59:01 AM,%RH,98.025
19/2/24 3:59:01 AM,%RH,93.01
19/2/24 5:59:01 AM,%RH,95.537
19/2/24 7:59:01 AM,%RH,93.01
19/2/24 9:59:01 AM,%RH,90.445
19/2/24 11:59:01 AM,%RH,82.516
19/2/24 1:59:01 PM,%RH,73.108
19/2/24 3:59:01 PM,%RH,74.238
19/2/24 5:59:01 PM,%RH,78.696
19/2/24 7:59:01 PM,%RH,88.364
19/2/24 9:59:01 PM,%RH,94.531
19/2/24 11:59:01 PM,%RH,96.536
20/2/24 1:59:01 AM,%RH,93.519
20/2/24 3:59:01 AM,%RH,96.536
20/2/24 5:59:01 AM,%RH,97.034
20/2/24 7:59:01 AM,%RH,97.034
20/2/24 9:59:01 AM,%RH,96.037
20/2/24 11:59:01 AM,%RH,84.664
20/2/24 1:59:01 PM,%RH,80.888
20/2/24 3:59:01 PM,%RH,80.343
20/2/24 5:59:01 PM,%RH,84.13
20/2/24 7:59:01 PM,%RH,91.989
20/2/24 9:59:01 PM,%RH,95.537
20/2/24 11:59:01 PM,%RH,96.536
21/2/24 1:59:01 AM,%RH,97.53
21/2/24 3:59:01 AM,%RH,97.53
21/2/24 5:59:01 AM,%RH,97.53
21/2/24 7:59:01 AM,%RH,98.025
21/2/24 9:59:01 AM,%RH,94.025
21/2/24 11:59:01 AM,%RH,77.591
21/2/24 1:59:01 PM,%RH,81.975
21/2/24 3:59:01 PM,%RH,84.13
21/2/24 5:59:01 PM,%RH,83.593
21/2/24 7:59:01 PM,%RH,89.408
21/2/24 9:59:01 PM,%RH,95.034
21/2/24 11:59:01 PM,%RH,95.537
22/2/24 1:59:01 AM,%RH,97.034
22/2/24 3:59:01 AM,%RH,96.037
22/2/24 5:59:01 AM,%RH,95.537
22/2/24 7:59:01 AM,%RH,97.53
22/2/24 9:59:01 AM,%RH,84.13
22/2/24 11:59:01 AM,%RH,65.023
22/2/24 1:59:01 PM,%RH,73.674
22/2/24 3:59:01 PM,%RH,74.801
22/2/24 5:59:01 PM,%RH,74.238
22/2/24 7:59:01 PM,%RH,86.788
22/2/24 9:59:01 PM,%RH,94.531
22/2/24 11:59:01 PM,%RH,94.025
23/2/24 1:59:01 AM,%RH,90.961
23/2/24 3:59:01 AM,%RH,90.961
23/2/24 5:59:01 AM,%RH,71.971
23/2/24 7:59:01 AM,%RH,60.867
23/2/24 9:59:01 AM,%RH,58.458
23/2/24 11:59:01 AM,%RH,59.063
23/2/24 1:59:01 PM,%RH,63.251
23/2/24 3:59:01 PM,%RH,57.852
23/2/24 5:59:01 PM,%RH,70.255
23/2/24 7:59:01 PM,%RH,84.13
23/2/24 9:59:01 PM,%RH,90.961
23/2/24 11:59:01 PM,%RH,95.537
24/2/24 1:59:01 AM,%RH,95.034
24/2/24 3:59:01 AM,%RH,90.961
24/2/24 5:59:01 AM,%RH,91.989
24/2/24 7:59:01 AM,%RH,88.887
24/2/24 9:59:01 AM,%RH,77.036
24/2/24 11:59:01 AM,%RH,68.525
24/2/24 1:59:01 PM,%RH,66.781
24/2/24 3:59:01 PM,%RH,63.251
24/2/24 5:59:01 PM,%RH,74.238
24/2/24 7:59:01 PM,%RH,89.408
24/2/24 9:59:01 PM,%RH,96.037
24/2/24 11:59:01 PM,%RH,94.025
25/2/24 1:59:01 AM,%RH,93.01
25/2/24 3:59:01 AM,%RH,81.432
25/2/24 5:59:01 AM,%RH,89.408
25/2/24 7:59:01 AM,%RH,90.445
25/2/24 9:59:01 AM,%RH,90.445
25/2/24 11:59:01 AM,%RH,84.13
25/2/24 1:59:01 PM,%RH,79.247
25/2/24 3:59:01 PM,%RH,84.13
25/2/24 5:59:01 PM,%RH,85.729
25/2/24 7:59:01 PM,%RH,90.445
25/2/24 9:59:01 PM,%RH,94.531
25/2/24 11:59:01 PM,%RH,96.037
26/2/24 1:59:01 AM,%RH,95.537
26/2/24 3:59:01 AM,%RH,90.445
26/2/24 5:59:01 AM,%RH,89.927
26/2/24 7:59:01 AM,%RH,89.927
26/2/24 9:59:01 AM,%RH,87.841
26/2/24 11:59:01 AM,%RH,75.921
26/2/24 1:59:01 PM,%RH,62.658
26/2/24 3:59:01 PM,%RH,59.063
26/2/24 5:59:01 PM,%RH,56.635
26/2/24 7:59:01 PM,%RH,86.788
26/2/24 9:59:01 PM,%RH,93.01
26/2/24 11:59:01 PM,%RH,94.025
27/2/24 1:59:01 AM,%RH,87.841
27/2/24 3:59:01 AM,%RH,86.259
27/2/24 5:59:01 AM,%RH,90.445
27/2/24 7:59:01 AM,%RH,93.01
27/2/24 9:59:01 AM,%RH,89.408
27/2/24 11:59:01 AM,%RH,70.255
27/2/24 1:59:01 PM,%RH,59.666
27/2/24 3:59:01 PM,%RH,51.705
27/2/24 5:59:01 PM,%RH,73.108
27/2/24 7:59:01 PM,%RH,84.664
27/2/24 9:59:01 PM,%RH,94.025
27/2/24 11:59:01 PM,%RH,95.034
28/2/24 1:59:01 AM,%RH,93.519
28/2/24 3:59:01 AM,%RH,91.476
28/2/24 5:59:01 AM,%RH,92.5
28/2/24 7:59:01 AM,%RH,89.927
28/2/24 9:59:01 AM,%RH,85.729
28/2/24 11:59:01 AM,%RH,74.238
28/2/24 1:59:01 PM,%RH,53.565
28/2/24 3:59:01 PM,%RH,67.946
28/2/24 5:59:01 PM,%RH,78.696
28/2/24 7:59:01 PM,%RH,90.445
28/2/24 9:59:01 PM,%RH,93.01
28/2/24 11:59:01 PM,%RH,96.536
29/2/24 1:59:01 AM,%RH,71.971
29/2/24 3:59:01 AM,%RH,78.696
29/2/24 5:59:01 AM,%RH,81.975
29/2/24 7:59:01 AM,%RH,86.259
29/2/24 9:59:01 AM,%RH,83.055
29/2/24 11:59:01 AM,%RH,59.666
29/2/24 1:59:01 PM,%RH,44.764
29/2/24 3:59:01 PM,%RH,41.547
29/2/24 5:59:01 PM,%RH,82.516
29/2/24 7:59:01 PM,%RH,91.476
29/2/24 9:59:01 PM,%RH,95.537
29/2/24 11:59:01 PM,%RH,96.536
1/3/24 1:59:01 AM,%RH,93.519
1/3/24 3:59:01 AM,%RH,88.887
1/3/24 5:59:01 AM,%RH,88.364
1/3/24 7:59:01 AM,%RH,88.364
