1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000007D83FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:55:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:55:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  13403
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:55:01 PM,C,22.068
11/1/24 11:55:01 PM,C,21.567
12/1/24 1:55:01 AM,C,21.567
12/1/24 3:55:01 AM,C,21.067
12/1/24 5:55:01 AM,C,21.067
12/1/24 7:55:01 AM,C,20.567
12/1/24 9:55:01 AM,C,21.567
12/1/24 11:55:01 AM,C,22.068
12/1/24 1:55:01 PM,C,23.568
12/1/24 3:55:01 PM,C,24.068
12/1/24 5:55:01 PM,C,22.568
12/1/24 7:55:01 PM,C,21.067
12/1/24 9:55:01 PM,C,20.066
12/1/24 11:55:01 PM,C,19.065
13/1/24 1:55:01 AM,C,18.565
13/1/24 3:55:01 AM,C,18.064
13/1/24 5:55:01 AM,C,17.564
13/1/24 7:55:01 AM,C,17.564
13/1/24 9:55:01 AM,C,19.566
13/1/24 11:55:01 AM,C,22.068
13/1/24 1:55:01 PM,C,23.568
13/1/24 3:55:01 PM,C,24.068
13/1/24 5:55:01 PM,C,22.568
13/1/24 7:55:01 PM,C,20.066
13/1/24 9:55:01 PM,C,19.566
13/1/24 11:55:01 PM,C,19.065
14/1/24 1:55:01 AM,C,19.566
14/1/24 3:55:01 AM,C,19.065
14/1/24 5:55:01 AM,C,18.565
14/1/24 7:55:01 AM,C,18.565
14/1/24 9:55:01 AM,C,20.066
14/1/24 11:55:01 AM,C,23.068
14/1/24 1:55:01 PM,C,24.568
14/1/24 3:55:01 PM,C,24.568
14/1/24 5:55:01 PM,C,23.068
14/1/24 7:55:01 PM,C,20.066
14/1/24 9:55:01 PM,C,21.067
14/1/24 11:55:01 PM,C,21.567
15/1/24 1:55:01 AM,C,20.066
15/1/24 3:55:01 AM,C,19.065
15/1/24 5:55:01 AM,C,18.064
15/1/24 7:55:01 AM,C,18.064
15/1/24 9:55:01 AM,C,20.066
15/1/24 11:55:01 AM,C,22.568
15/1/24 1:55:01 PM,C,23.568
15/1/24 3:55:01 PM,C,23.068
15/1/24 5:55:01 PM,C,21.567
15/1/24 7:55:01 PM,C,20.066
15/1/24 9:55:01 PM,C,19.566
15/1/24 11:55:01 PM,C,18.565
16/1/24 1:55:01 AM,C,18.565
16/1/24 3:55:01 AM,C,18.064
16/1/24 5:55:01 AM,C,18.064
16/1/24 7:55:01 AM,C,17.564
16/1/24 9:55:01 AM,C,19.065
16/1/24 11:55:01 AM,C,22.068
16/1/24 1:55:01 PM,C,23.068
16/1/24 3:55:01 PM,C,22.568
16/1/24 5:55:01 PM,C,21.567
16/1/24 7:55:01 PM,C,20.066
16/1/24 9:55:01 PM,C,19.566
16/1/24 11:55:01 PM,C,19.065
17/1/24 1:55:01 AM,C,19.566
17/1/24 3:55:01 AM,C,19.566
17/1/24 5:55:01 AM,C,19.065
17/1/24 7:55:01 AM,C,18.565
17/1/24 9:55:01 AM,C,20.567
17/1/24 11:55:01 AM,C,21.567
17/1/24 1:55:01 PM,C,23.068
17/1/24 3:55:01 PM,C,22.568
17/1/24 5:55:01 PM,C,21.567
17/1/24 7:55:01 PM,C,20.066
17/1/24 9:55:01 PM,C,20.066
17/1/24 11:55:01 PM,C,20.066
18/1/24 1:55:01 AM,C,19.065
18/1/24 3:55:01 AM,C,18.565
18/1/24 5:55:01 AM,C,18.064
18/1/24 7:55:01 AM,C,18.565
18/1/24 9:55:01 AM,C,20.567
18/1/24 11:55:01 AM,C,22.568
18/1/24 1:55:01 PM,C,22.568
18/1/24 3:55:01 PM,C,23.068
18/1/24 5:55:01 PM,C,22.068
18/1/24 7:55:01 PM,C,20.567
18/1/24 9:55:01 PM,C,20.066
18/1/24 11:55:01 PM,C,19.566
19/1/24 1:55:01 AM,C,20.066
19/1/24 3:55:01 AM,C,19.566
19/1/24 5:55:01 AM,C,18.064
19/1/24 7:55:01 AM,C,18.064
19/1/24 9:55:01 AM,C,20.066
19/1/24 11:55:01 AM,C,22.068
19/1/24 1:55:01 PM,C,23.568
19/1/24 3:55:01 PM,C,23.068
19/1/24 5:55:01 PM,C,22.068
19/1/24 7:55:01 PM,C,21.067
19/1/24 9:55:01 PM,C,20.567
19/1/24 11:55:01 PM,C,19.065
20/1/24 1:55:01 AM,C,18.565
20/1/24 3:55:01 AM,C,19.065
20/1/24 5:55:01 AM,C,18.565
20/1/24 7:55:01 AM,C,18.064
20/1/24 9:55:01 AM,C,20.066
20/1/24 11:55:01 AM,C,22.568
20/1/24 1:55:01 PM,C,23.568
20/1/24 3:55:01 PM,C,23.568
20/1/24 5:55:01 PM,C,22.568
20/1/24 7:55:01 PM,C,21.067
20/1/24 9:55:01 PM,C,19.566
20/1/24 11:55:01 PM,C,19.065
21/1/24 1:55:01 AM,C,19.065
21/1/24 3:55:01 AM,C,19.065
21/1/24 5:55:01 AM,C,19.065
21/1/24 7:55:01 AM,C,19.065
21/1/24 9:55:01 AM,C,20.066
21/1/24 11:55:01 AM,C,23.068
21/1/24 1:55:01 PM,C,24.568
21/1/24 3:55:01 PM,C,24.068
21/1/24 5:55:01 PM,C,22.568
21/1/24 7:55:01 PM,C,21.567
21/1/24 9:55:01 PM,C,21.067
21/1/24 11:55:01 PM,C,20.066
22/1/24 1:55:01 AM,C,20.066
22/1/24 3:55:01 AM,C,19.065
22/1/24 5:55:01 AM,C,18.565
22/1/24 7:55:01 AM,C,18.565
22/1/24 9:55:01 AM,C,20.567
22/1/24 11:55:01 AM,C,23.068
22/1/24 1:55:01 PM,C,24.568
22/1/24 3:55:01 PM,C,23.568
22/1/24 5:55:01 PM,C,22.568
22/1/24 7:55:01 PM,C,22.068
22/1/24 9:55:01 PM,C,21.067
22/1/24 11:55:01 PM,C,20.066
23/1/24 1:55:01 AM,C,19.566
23/1/24 3:55:01 AM,C,18.565
23/1/24 5:55:01 AM,C,18.565
23/1/24 7:55:01 AM,C,19.566
23/1/24 9:55:01 AM,C,20.567
23/1/24 11:55:01 AM,C,23.068
23/1/24 1:55:01 PM,C,23.568
23/1/24 3:55:01 PM,C,23.568
23/1/24 5:55:01 PM,C,22.568
23/1/24 7:55:01 PM,C,20.567
23/1/24 9:55:01 PM,C,19.065
23/1/24 11:55:01 PM,C,18.565
24/1/24 1:55:01 AM,C,18.064
24/1/24 3:55:01 AM,C,17.063
24/1/24 5:55:01 AM,C,16.062
24/1/24 7:55:01 AM,C,16.563
24/1/24 9:55:01 AM,C,19.566
24/1/24 11:55:01 AM,C,21.567
24/1/24 1:55:01 PM,C,22.568
24/1/24 3:55:01 PM,C,22.568
24/1/24 5:55:01 PM,C,21.567
24/1/24 7:55:01 PM,C,19.566
24/1/24 9:55:01 PM,C,18.565
24/1/24 11:55:01 PM,C,17.564
25/1/24 1:55:01 AM,C,17.063
25/1/24 3:55:01 AM,C,17.063
25/1/24 5:55:01 AM,C,17.063
25/1/24 7:55:01 AM,C,16.563
25/1/24 9:55:01 AM,C,20.066
25/1/24 11:55:01 AM,C,22.068
25/1/24 1:55:01 PM,C,22.568
25/1/24 3:55:01 PM,C,22.568
25/1/24 5:55:01 PM,C,21.067
25/1/24 7:55:01 PM,C,20.066
25/1/24 9:55:01 PM,C,19.065
25/1/24 11:55:01 PM,C,18.565
26/1/24 1:55:01 AM,C,17.564
26/1/24 3:55:01 AM,C,18.565
26/1/24 5:55:01 AM,C,18.064
26/1/24 7:55:01 AM,C,18.064
26/1/24 9:55:01 AM,C,19.566
26/1/24 11:55:01 AM,C,21.567
26/1/24 1:55:01 PM,C,23.568
26/1/24 3:55:01 PM,C,23.568
26/1/24 5:55:01 PM,C,22.568
26/1/24 7:55:01 PM,C,20.066
26/1/24 9:55:01 PM,C,19.065
26/1/24 11:55:01 PM,C,18.565
27/1/24 1:55:01 AM,C,18.565
27/1/24 3:55:01 AM,C,18.064
27/1/24 5:55:01 AM,C,17.063
27/1/24 7:55:01 AM,C,17.063
27/1/24 9:55:01 AM,C,19.566
27/1/24 11:55:01 AM,C,21.567
27/1/24 1:55:01 PM,C,23.568
27/1/24 3:55:01 PM,C,23.568
27/1/24 5:55:01 PM,C,22.568
27/1/24 7:55:01 PM,C,21.067
27/1/24 9:55:01 PM,C,20.567
27/1/24 11:55:01 PM,C,19.566
28/1/24 1:55:01 AM,C,19.065
28/1/24 3:55:01 AM,C,18.064
28/1/24 5:55:01 AM,C,17.564
28/1/24 7:55:01 AM,C,17.564
28/1/24 9:55:01 AM,C,19.065
28/1/24 11:55:01 AM,C,22.068
28/1/24 1:55:01 PM,C,23.568
28/1/24 3:55:01 PM,C,23.568
28/1/24 5:55:01 PM,C,23.068
28/1/24 7:55:01 PM,C,20.066
28/1/24 9:55:01 PM,C,18.565
28/1/24 11:55:01 PM,C,18.064
29/1/24 1:55:01 AM,C,18.064
29/1/24 3:55:01 AM,C,18.565
29/1/24 5:55:01 AM,C,18.064
29/1/24 7:55:01 AM,C,17.564
29/1/24 9:55:01 AM,C,19.566
29/1/24 11:55:01 AM,C,21.067
29/1/24 1:55:01 PM,C,23.068
29/1/24 3:55:01 PM,C,23.568
29/1/24 5:55:01 PM,C,22.068
29/1/24 7:55:01 PM,C,20.066
29/1/24 9:55:01 PM,C,18.565
29/1/24 11:55:01 PM,C,17.564
30/1/24 1:55:01 AM,C,18.565
30/1/24 3:55:01 AM,C,19.065
30/1/24 5:55:01 AM,C,17.564
30/1/24 7:55:01 AM,C,17.063
30/1/24 9:55:01 AM,C,19.065
30/1/24 11:55:01 AM,C,22.068
30/1/24 1:55:01 PM,C,23.568
30/1/24 3:55:01 PM,C,23.068
30/1/24 5:55:01 PM,C,21.567
30/1/24 7:55:01 PM,C,19.566
30/1/24 9:55:01 PM,C,19.566
30/1/24 11:55:01 PM,C,18.064
31/1/24 1:55:01 AM,C,18.064
31/1/24 3:55:01 AM,C,18.064
31/1/24 5:55:01 AM,C,17.063
31/1/24 7:55:01 AM,C,17.564
31/1/24 9:55:01 AM,C,20.567
31/1/24 11:55:01 AM,C,22.568
31/1/24 1:55:01 PM,C,23.068
31/1/24 3:55:01 PM,C,23.068
31/1/24 5:55:01 PM,C,21.567
31/1/24 7:55:01 PM,C,19.566
31/1/24 9:55:01 PM,C,18.064
31/1/24 11:55:01 PM,C,18.565
1/2/24 1:55:01 AM,C,18.565
1/2/24 3:55:01 AM,C,18.064
1/2/24 5:55:01 AM,C,17.564
1/2/24 7:55:01 AM,C,17.063
1/2/24 9:55:01 AM,C,20.066
1/2/24 11:55:01 AM,C,22.568
1/2/24 1:55:01 PM,C,23.068
1/2/24 3:55:01 PM,C,23.068
1/2/24 5:55:01 PM,C,21.567
1/2/24 7:55:01 PM,C,20.066
1/2/24 9:55:01 PM,C,19.065
1/2/24 11:55:01 PM,C,18.565
2/2/24 1:55:01 AM,C,18.565
2/2/24 3:55:01 AM,C,18.064
2/2/24 5:55:01 AM,C,17.063
2/2/24 7:55:01 AM,C,17.063
2/2/24 9:55:01 AM,C,19.566
2/2/24 11:55:01 AM,C,22.568
2/2/24 1:55:01 PM,C,23.068
2/2/24 3:55:01 PM,C,23.068
2/2/24 5:55:01 PM,C,21.567
2/2/24 7:55:01 PM,C,20.567
2/2/24 9:55:01 PM,C,19.065
2/2/24 11:55:01 PM,C,18.064
3/2/24 1:55:01 AM,C,17.564
3/2/24 3:55:01 AM,C,17.063
3/2/24 5:55:01 AM,C,19.065
3/2/24 7:55:01 AM,C,18.565
3/2/24 9:55:01 AM,C,21.067
3/2/24 11:55:01 AM,C,23.068
3/2/24 1:55:01 PM,C,24.068
3/2/24 3:55:01 PM,C,24.068
3/2/24 5:55:01 PM,C,22.568
3/2/24 7:55:01 PM,C,21.067
3/2/24 9:55:01 PM,C,20.066
3/2/24 11:55:01 PM,C,20.066
4/2/24 1:55:01 AM,C,19.566
4/2/24 3:55:01 AM,C,20.567
4/2/24 5:55:01 AM,C,20.066
4/2/24 7:55:01 AM,C,19.566
4/2/24 9:55:01 AM,C,21.067
4/2/24 11:55:01 AM,C,23.068
4/2/24 1:55:01 PM,C,24.568
4/2/24 3:55:01 PM,C,25.068
4/2/24 5:55:01 PM,C,23.568
4/2/24 7:55:01 PM,C,22.068
4/2/24 9:55:01 PM,C,20.567
4/2/24 11:55:01 PM,C,19.065
5/2/24 1:55:01 AM,C,19.065
5/2/24 3:55:01 AM,C,18.565
5/2/24 5:55:01 AM,C,18.565
5/2/24 7:55:01 AM,C,18.565
5/2/24 9:55:01 AM,C,20.567
5/2/24 11:55:01 AM,C,23.568
5/2/24 1:55:01 PM,C,25.568
5/2/24 3:55:01 PM,C,26.068
5/2/24 5:55:01 PM,C,24.568
5/2/24 7:55:01 PM,C,22.068
5/2/24 9:55:01 PM,C,21.567
5/2/24 11:55:01 PM,C,20.066
6/2/24 1:55:01 AM,C,19.065
6/2/24 3:55:01 AM,C,18.064
6/2/24 5:55:01 AM,C,18.064
6/2/24 7:55:01 AM,C,18.565
6/2/24 9:55:01 AM,C,21.067
6/2/24 11:55:01 AM,C,24.568
6/2/24 1:55:01 PM,C,26.568
6/2/24 3:55:01 PM,C,26.568
6/2/24 5:55:01 PM,C,25.568
6/2/24 7:55:01 PM,C,22.068
6/2/24 9:55:01 PM,C,21.067
6/2/24 11:55:01 PM,C,20.066
7/2/24 1:55:01 AM,C,20.567
7/2/24 3:55:01 AM,C,20.066
7/2/24 5:55:01 AM,C,19.566
7/2/24 7:55:01 AM,C,19.566
7/2/24 9:55:01 AM,C,22.068
7/2/24 11:55:01 AM,C,25.068
7/2/24 1:55:01 PM,C,27.568
7/2/24 3:55:01 PM,C,27.068
7/2/24 5:55:01 PM,C,25.068
7/2/24 7:55:01 PM,C,22.568
7/2/24 9:55:01 PM,C,21.067
7/2/24 11:55:01 PM,C,20.567
8/2/24 1:55:01 AM,C,21.067
8/2/24 3:55:01 AM,C,19.566
8/2/24 5:55:01 AM,C,19.566
8/2/24 7:55:01 AM,C,20.567
8/2/24 9:55:01 AM,C,22.568
8/2/24 11:55:01 AM,C,25.568
8/2/24 1:55:01 PM,C,27.568
8/2/24 3:55:01 PM,C,25.568
8/2/24 5:55:01 PM,C,24.068
8/2/24 7:55:01 PM,C,22.068
8/2/24 9:55:01 PM,C,20.567
8/2/24 11:55:01 PM,C,19.065
9/2/24 1:55:01 AM,C,20.567
9/2/24 3:55:01 AM,C,18.565
9/2/24 5:55:01 AM,C,18.565
9/2/24 7:55:01 AM,C,18.064
9/2/24 9:55:01 AM,C,22.068
9/2/24 11:55:01 AM,C,24.568
9/2/24 1:55:01 PM,C,26.568
9/2/24 3:55:01 PM,C,25.568
9/2/24 5:55:01 PM,C,24.068
9/2/24 7:55:01 PM,C,22.068
9/2/24 9:55:01 PM,C,22.068
9/2/24 11:55:01 PM,C,20.567
10/2/24 1:55:01 AM,C,19.065
10/2/24 3:55:01 AM,C,18.565
10/2/24 5:55:01 AM,C,18.064
10/2/24 7:55:01 AM,C,17.564
10/2/24 9:55:01 AM,C,20.567
10/2/24 11:55:01 AM,C,24.568
10/2/24 1:55:01 PM,C,25.568
10/2/24 3:55:01 PM,C,26.068
10/2/24 5:55:01 PM,C,24.568
10/2/24 7:55:01 PM,C,22.568
10/2/24 9:55:01 PM,C,21.067
10/2/24 11:55:01 PM,C,20.066
11/2/24 1:55:01 AM,C,19.065
11/2/24 3:55:01 AM,C,18.064
11/2/24 5:55:01 AM,C,18.565
11/2/24 7:55:01 AM,C,18.064
11/2/24 9:55:01 AM,C,20.066
11/2/24 11:55:01 AM,C,23.568
11/2/24 1:55:01 PM,C,25.068
11/2/24 3:55:01 PM,C,25.568
11/2/24 5:55:01 PM,C,24.568
11/2/24 7:55:01 PM,C,21.067
11/2/24 9:55:01 PM,C,19.566
11/2/24 11:55:01 PM,C,19.566
12/2/24 1:55:01 AM,C,19.065
12/2/24 3:55:01 AM,C,19.065
12/2/24 5:55:01 AM,C,18.565
12/2/24 7:55:01 AM,C,18.064
12/2/24 9:55:01 AM,C,20.567
12/2/24 11:55:01 AM,C,24.568
12/2/24 1:55:01 PM,C,26.068
12/2/24 3:55:01 PM,C,26.568
12/2/24 5:55:01 PM,C,24.568
12/2/24 7:55:01 PM,C,22.568
12/2/24 9:55:01 PM,C,20.066
12/2/24 11:55:01 PM,C,19.065
13/2/24 1:55:01 AM,C,18.565
13/2/24 3:55:01 AM,C,18.565
13/2/24 5:55:01 AM,C,17.564
13/2/24 7:55:01 AM,C,17.564
13/2/24 9:55:01 AM,C,20.066
13/2/24 11:55:01 AM,C,24.068
13/2/24 1:55:01 PM,C,25.568
13/2/24 3:55:01 PM,C,26.068
13/2/24 5:55:01 PM,C,23.568
13/2/24 7:55:01 PM,C,21.567
13/2/24 9:55:01 PM,C,19.566
13/2/24 11:55:01 PM,C,18.565
14/2/24 1:55:01 AM,C,19.566
14/2/24 3:55:01 AM,C,19.566
14/2/24 5:55:01 AM,C,19.065
14/2/24 7:55:01 AM,C,19.065
14/2/24 9:55:01 AM,C,21.067
14/2/24 11:55:01 AM,C,25.068
14/2/24 1:55:01 PM,C,26.568
14/2/24 3:55:01 PM,C,26.568
14/2/24 5:55:01 PM,C,25.068
14/2/24 7:55:01 PM,C,23.068
14/2/24 9:55:01 PM,C,21.067
14/2/24 11:55:01 PM,C,20.066
15/2/24 1:55:01 AM,C,19.065
15/2/24 3:55:01 AM,C,19.065
15/2/24 5:55:01 AM,C,19.065
15/2/24 7:55:01 AM,C,19.065
15/2/24 9:55:01 AM,C,21.067
15/2/24 11:55:01 AM,C,24.568
15/2/24 1:55:01 PM,C,25.568
15/2/24 3:55:01 PM,C,25.568
15/2/24 5:55:01 PM,C,24.568
15/2/24 7:55:01 PM,C,21.567
15/2/24 9:55:01 PM,C,19.566
15/2/24 11:55:01 PM,C,19.065
16/2/24 1:55:01 AM,C,19.065
16/2/24 3:55:01 AM,C,19.065
16/2/24 5:55:01 AM,C,18.064
16/2/24 7:55:01 AM,C,18.064
16/2/24 9:55:01 AM,C,20.567
16/2/24 11:55:01 AM,C,24.568
16/2/24 1:55:01 PM,C,26.568
16/2/24 3:55:01 PM,C,26.568
16/2/24 5:55:01 PM,C,25.068
16/2/24 7:55:01 PM,C,22.068
16/2/24 9:55:01 PM,C,20.567
16/2/24 11:55:01 PM,C,19.566
17/2/24 1:55:01 AM,C,19.065
17/2/24 3:55:01 AM,C,19.566
17/2/24 5:55:01 AM,C,19.065
17/2/24 7:55:01 AM,C,18.565
17/2/24 9:55:01 AM,C,20.567
17/2/24 11:55:01 AM,C,25.068
17/2/24 1:55:01 PM,C,26.568
17/2/24 3:55:01 PM,C,26.068
17/2/24 5:55:01 PM,C,24.568
17/2/24 7:55:01 PM,C,22.568
17/2/24 9:55:01 PM,C,20.567
17/2/24 11:55:01 PM,C,20.066
18/2/24 1:55:01 AM,C,19.065
18/2/24 3:55:01 AM,C,18.565
18/2/24 5:55:01 AM,C,18.064
18/2/24 7:55:01 AM,C,18.064
18/2/24 9:55:01 AM,C,21.067
18/2/24 11:55:01 AM,C,25.068
18/2/24 1:55:01 PM,C,25.068
18/2/24 3:55:01 PM,C,25.068
18/2/24 5:55:01 PM,C,23.568
18/2/24 7:55:01 PM,C,22.068
18/2/24 9:55:01 PM,C,21.067
18/2/24 11:55:01 PM,C,20.066
19/2/24 1:55:01 AM,C,20.066
19/2/24 3:55:01 AM,C,18.565
19/2/24 5:55:01 AM,C,18.565
19/2/24 7:55:01 AM,C,19.065
19/2/24 9:55:01 AM,C,20.567
19/2/24 11:55:01 AM,C,25.068
19/2/24 1:55:01 PM,C,24.568
19/2/24 3:55:01 PM,C,25.068
19/2/24 5:55:01 PM,C,23.568
19/2/24 7:55:01 PM,C,22.568
19/2/24 9:55:01 PM,C,21.067
19/2/24 11:55:01 PM,C,20.567
20/2/24 1:55:01 AM,C,20.066
20/2/24 3:55:01 AM,C,19.065
20/2/24 5:55:01 AM,C,18.064
20/2/24 7:55:01 AM,C,18.565
20/2/24 9:55:01 AM,C,20.567
20/2/24 11:55:01 AM,C,25.068
20/2/24 1:55:01 PM,C,25.568
20/2/24 3:55:01 PM,C,25.068
20/2/24 5:55:01 PM,C,23.568
20/2/24 7:55:01 PM,C,22.568
20/2/24 9:55:01 PM,C,21.567
20/2/24 11:55:01 PM,C,21.067
21/2/24 1:55:01 AM,C,20.567
21/2/24 3:55:01 AM,C,20.567
21/2/24 5:55:01 AM,C,19.566
21/2/24 7:55:01 AM,C,19.566
21/2/24 9:55:01 AM,C,21.567
21/2/24 11:55:01 AM,C,25.068
21/2/24 1:55:01 PM,C,25.568
21/2/24 3:55:01 PM,C,25.068
21/2/24 5:55:01 PM,C,23.568
21/2/24 7:55:01 PM,C,21.567
21/2/24 9:55:01 PM,C,20.066
21/2/24 11:55:01 PM,C,19.065
22/2/24 1:55:01 AM,C,18.064
22/2/24 3:55:01 AM,C,17.564
22/2/24 5:55:01 AM,C,18.064
22/2/24 7:55:01 AM,C,18.565
22/2/24 9:55:01 AM,C,19.566
22/2/24 11:55:01 AM,C,24.568
22/2/24 1:55:01 PM,C,24.568
22/2/24 3:55:01 PM,C,24.568
22/2/24 5:55:01 PM,C,23.068
22/2/24 7:55:01 PM,C,21.567
22/2/24 9:55:01 PM,C,19.566
22/2/24 11:55:01 PM,C,18.565
23/2/24 1:55:01 AM,C,18.565
23/2/24 3:55:01 AM,C,17.063
23/2/24 5:55:01 AM,C,18.064
23/2/24 7:55:01 AM,C,19.065
23/2/24 9:55:01 AM,C,22.068
23/2/24 11:55:01 AM,C,25.068
23/2/24 1:55:01 PM,C,24.568
23/2/24 3:55:01 PM,C,24.568
23/2/24 5:55:01 PM,C,23.068
23/2/24 7:55:01 PM,C,21.067
23/2/24 9:55:01 PM,C,20.066
23/2/24 11:55:01 PM,C,18.565
24/2/24 1:55:01 AM,C,18.064
24/2/24 3:55:01 AM,C,18.064
24/2/24 5:55:01 AM,C,16.563
24/2/24 7:55:01 AM,C,17.063
24/2/24 9:55:01 AM,C,21.067
24/2/24 11:55:01 AM,C,23.068
24/2/24 1:55:01 PM,C,24.068
24/2/24 3:55:01 PM,C,23.568
24/2/24 5:55:01 PM,C,22.568
24/2/24 7:55:01 PM,C,21.067
24/2/24 9:55:01 PM,C,20.066
24/2/24 11:55:01 PM,C,18.565
25/2/24 1:55:01 AM,C,17.564
25/2/24 3:55:01 AM,C,17.564
25/2/24 5:55:01 AM,C,17.564
25/2/24 7:55:01 AM,C,19.566
25/2/24 9:55:01 AM,C,21.567
25/2/24 11:55:01 AM,C,24.068
25/2/24 1:55:01 PM,C,25.568
25/2/24 3:55:01 PM,C,25.068
25/2/24 5:55:01 PM,C,23.568
25/2/24 7:55:01 PM,C,21.567
25/2/24 9:55:01 PM,C,19.566
25/2/24 11:55:01 PM,C,19.566
26/2/24 1:55:01 AM,C,19.566
26/2/24 3:55:01 AM,C,20.066
26/2/24 5:55:01 AM,C,19.566
26/2/24 7:55:01 AM,C,19.566
26/2/24 9:55:01 AM,C,21.067
26/2/24 11:55:01 AM,C,24.068
26/2/24 1:55:01 PM,C,26.068
26/2/24 3:55:01 PM,C,26.568
26/2/24 5:55:01 PM,C,25.068
26/2/24 7:55:01 PM,C,23.068
26/2/24 9:55:01 PM,C,21.067
26/2/24 11:55:01 PM,C,20.066
27/2/24 1:55:01 AM,C,19.065
27/2/24 3:55:01 AM,C,19.566
27/2/24 5:55:01 AM,C,19.065
27/2/24 7:55:01 AM,C,19.065
27/2/24 9:55:01 AM,C,21.567
27/2/24 11:55:01 AM,C,25.068
27/2/24 1:55:01 PM,C,27.068
27/2/24 3:55:01 PM,C,27.568
27/2/24 5:55:01 PM,C,25.568
27/2/24 7:55:01 PM,C,23.068
27/2/24 9:55:01 PM,C,21.567
27/2/24 11:55:01 PM,C,20.567
28/2/24 1:55:01 AM,C,20.066
28/2/24 3:55:01 AM,C,19.566
28/2/24 5:55:01 AM,C,19.065
28/2/24 7:55:01 AM,C,19.566
28/2/24 9:55:01 AM,C,22.068
28/2/24 11:55:01 AM,C,25.568
28/2/24 1:55:01 PM,C,27.568
28/2/24 3:55:01 PM,C,27.068
28/2/24 5:55:01 PM,C,25.068
28/2/24 7:55:01 PM,C,23.068
28/2/24 9:55:01 PM,C,21.567
28/2/24 11:55:01 PM,C,20.066
29/2/24 1:55:01 AM,C,20.567
29/2/24 3:55:01 AM,C,20.066
29/2/24 5:55:01 AM,C,19.065
29/2/24 7:55:01 AM,C,18.565
29/2/24 9:55:01 AM,C,22.068
29/2/24 11:55:01 AM,C,25.568
29/2/24 1:55:01 PM,C,27.568
29/2/24 3:55:01 PM,C,27.568
29/2/24 5:55:01 PM,C,25.068
29/2/24 7:55:01 PM,C,23.568
29/2/24 9:55:01 PM,C,22.068
29/2/24 11:55:01 PM,C,21.067
1/3/24 1:55:01 AM,C,20.066
1/3/24 3:55:01 AM,C,18.565
1/3/24 5:55:01 AM,C,18.565
1/3/24 7:55:01 AM,C,19.065
1/3/24 9:55:01 AM,C,21.067
1/3/24 11:55:01 AM,C,25.068
1/3/24 1:55:01 PM,C,26.568
1/3/24 3:55:01 PM,C,27.068
1/3/24 5:55:01 PM,C,25.068
1/3/24 7:55:01 PM,C,23.568
1/3/24 9:55:01 PM,C,22.568
1/3/24 11:55:01 PM,C,21.067
2/3/24 1:55:01 AM,C,20.066
2/3/24 3:55:01 AM,C,19.065
2/3/24 5:55:01 AM,C,18.565
2/3/24 7:55:01 AM,C,18.565
2/3/24 9:55:01 AM,C,21.567
2/3/24 11:55:01 AM,C,24.568
2/3/24 1:55:01 PM,C,25.568
2/3/24 3:55:01 PM,C,25.068
2/3/24 5:55:01 PM,C,23.568
2/3/24 7:55:01 PM,C,23.068
2/3/24 9:55:01 PM,C,22.068
2/3/24 11:55:01 PM,C,21.567
3/3/24 1:55:01 AM,C,20.567
3/3/24 3:55:01 AM,C,19.566
3/3/24 5:55:01 AM,C,19.566
3/3/24 7:55:01 AM,C,20.066
3/3/24 9:55:01 AM,C,22.568
3/3/24 11:55:01 AM,C,24.068
3/3/24 1:55:01 PM,C,25.568
3/3/24 3:55:01 PM,C,25.068
3/3/24 5:55:01 PM,C,24.068
3/3/24 7:55:01 PM,C,22.068
3/3/24 9:55:01 PM,C,20.567
3/3/24 11:55:01 PM,C,20.066
4/3/24 1:55:01 AM,C,19.566
4/3/24 3:55:01 AM,C,19.065
4/3/24 5:55:01 AM,C,19.065
4/3/24 7:55:01 AM,C,18.565
4/3/24 9:55:01 AM,C,22.568
4/3/24 11:55:01 AM,C,25.068
4/3/24 1:55:01 PM,C,25.568
4/3/24 3:55:01 PM,C,25.068
4/3/24 5:55:01 PM,C,24.068
4/3/24 7:55:01 PM,C,22.068
4/3/24 9:55:01 PM,C,20.567
4/3/24 11:55:01 PM,C,20.066
5/3/24 1:55:01 AM,C,19.566
5/3/24 3:55:01 AM,C,18.565
5/3/24 5:55:01 AM,C,18.064
5/3/24 7:55:01 AM,C,19.065
5/3/24 9:55:01 AM,C,22.068
5/3/24 11:55:01 AM,C,24.568
5/3/24 1:55:01 PM,C,25.568
5/3/24 3:55:01 PM,C,25.068
5/3/24 5:55:01 PM,C,24.568
5/3/24 7:55:01 PM,C,22.068
5/3/24 9:55:01 PM,C,21.067
5/3/24 11:55:01 PM,C,20.567
6/3/24 1:55:01 AM,C,20.066
