1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D8D5141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:41:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:41:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  12585
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:41:01 PM,%RH,85.432
9/1/24 11:41:01 PM,%RH,85.432
10/1/24 1:41:01 AM,%RH,83.814
10/1/24 3:41:01 AM,%RH,82.727
10/1/24 5:41:01 AM,%RH,82.727
10/1/24 7:41:01 AM,%RH,83.272
10/1/24 9:41:01 AM,%RH,83.272
10/1/24 11:41:01 AM,%RH,79.983
10/1/24 1:41:01 PM,%RH,77.759
10/1/24 3:41:01 PM,%RH,77.759
10/1/24 5:41:01 PM,%RH,79.983
10/1/24 7:41:01 PM,%RH,81.634
10/1/24 9:41:01 PM,%RH,81.086
10/1/24 11:41:01 PM,%RH,79.983
11/1/24 1:41:01 AM,%RH,79.983
11/1/24 3:41:01 AM,%RH,80.535
11/1/24 5:41:01 AM,%RH,80.535
11/1/24 7:41:01 AM,%RH,82.727
11/1/24 9:41:01 AM,%RH,81.086
11/1/24 11:41:01 AM,%RH,61.482
11/1/24 1:41:01 PM,%RH,60.877
11/1/24 3:41:01 PM,%RH,59.055
11/1/24 5:41:01 PM,%RH,78.874
11/1/24 7:41:01 PM,%RH,81.634
11/1/24 9:41:01 PM,%RH,82.182
11/1/24 11:41:01 PM,%RH,87.568
12/1/24 1:41:01 AM,%RH,85.432
12/1/24 3:41:01 AM,%RH,88.626
12/1/24 5:41:01 AM,%RH,93.822
12/1/24 7:41:01 AM,%RH,93.31
12/1/24 9:41:01 AM,%RH,81.086
12/1/24 11:41:01 AM,%RH,72.662
12/1/24 1:41:01 PM,%RH,66.849
12/1/24 3:41:01 PM,%RH,63.883
12/1/24 5:41:01 PM,%RH,72.662
12/1/24 7:41:01 PM,%RH,78.874
12/1/24 9:41:01 PM,%RH,82.727
12/1/24 11:41:01 PM,%RH,89.678
13/1/24 1:41:01 AM,%RH,91.763
13/1/24 3:41:01 AM,%RH,95.35
13/1/24 5:41:01 AM,%RH,96.864
13/1/24 7:41:01 AM,%RH,96.361
13/1/24 9:41:01 AM,%RH,91.763
13/1/24 11:41:01 AM,%RH,68.024
13/1/24 1:41:01 PM,%RH,65.074
13/1/24 3:41:01 PM,%RH,67.437
13/1/24 5:41:01 PM,%RH,83.272
13/1/24 7:41:01 PM,%RH,90.201
13/1/24 9:41:01 PM,%RH,95.35
13/1/24 11:41:01 PM,%RH,93.822
14/1/24 1:41:01 AM,%RH,94.842
14/1/24 3:41:01 AM,%RH,88.626
14/1/24 5:41:01 AM,%RH,92.28
14/1/24 7:41:01 AM,%RH,93.31
14/1/24 9:41:01 AM,%RH,91.244
14/1/24 11:41:01 AM,%RH,69.775
14/1/24 1:41:01 PM,%RH,66.259
14/1/24 3:41:01 PM,%RH,63.883
14/1/24 5:41:01 PM,%RH,85.969
14/1/24 7:41:01 PM,%RH,88.098
14/1/24 9:41:01 PM,%RH,84.895
14/1/24 11:41:01 PM,%RH,82.727
15/1/24 1:41:01 AM,%RH,81.086
15/1/24 3:41:01 AM,%RH,84.895
15/1/24 5:41:01 AM,%RH,93.822
15/1/24 7:41:01 AM,%RH,96.361
15/1/24 9:41:01 AM,%RH,93.31
15/1/24 11:41:01 AM,%RH,73.806
15/1/24 1:41:01 PM,%RH,59.055
15/1/24 3:41:01 PM,%RH,77.759
15/1/24 5:41:01 PM,%RH,83.814
15/1/24 7:41:01 PM,%RH,87.036
15/1/24 9:41:01 PM,%RH,93.31
15/1/24 11:41:01 PM,%RH,93.822
16/1/24 1:41:01 AM,%RH,92.28
16/1/24 3:41:01 AM,%RH,90.723
16/1/24 5:41:01 AM,%RH,87.568
16/1/24 7:41:01 AM,%RH,90.723
16/1/24 9:41:01 AM,%RH,91.763
16/1/24 11:41:01 AM,%RH,74.375
16/1/24 1:41:01 PM,%RH,69.775
16/1/24 3:41:01 PM,%RH,83.272
16/1/24 5:41:01 PM,%RH,87.568
16/1/24 7:41:01 PM,%RH,93.31
16/1/24 9:41:01 PM,%RH,97.365
16/1/24 11:41:01 PM,%RH,98.86
17/1/24 1:41:01 AM,%RH,99.355
17/1/24 3:41:01 AM,%RH,100.34
17/1/24 5:41:01 AM,%RH,99.355
17/1/24 7:41:01 AM,%RH,98.363
17/1/24 9:41:01 AM,%RH,96.361
17/1/24 11:41:01 AM,%RH,82.727
17/1/24 1:41:01 PM,%RH,88.098
17/1/24 3:41:01 PM,%RH,87.568
17/1/24 5:41:01 PM,%RH,76.637
17/1/24 7:41:01 PM,%RH,89.153
17/1/24 9:41:01 PM,%RH,98.363
17/1/24 11:41:01 PM,%RH,98.86
18/1/24 1:41:01 AM,%RH,98.363
18/1/24 3:41:01 AM,%RH,98.86
18/1/24 5:41:01 AM,%RH,98.363
18/1/24 7:41:01 AM,%RH,99.849
18/1/24 9:41:01 AM,%RH,94.333
18/1/24 11:41:01 AM,%RH,81.634
18/1/24 1:41:01 PM,%RH,82.727
18/1/24 3:41:01 PM,%RH,85.969
18/1/24 5:41:01 PM,%RH,90.201
18/1/24 7:41:01 PM,%RH,95.856
18/1/24 9:41:01 PM,%RH,98.363
18/1/24 11:41:01 PM,%RH,99.849
19/1/24 1:41:01 AM,%RH,99.849
19/1/24 3:41:01 AM,%RH,99.849
19/1/24 5:41:01 AM,%RH,99.849
19/1/24 7:41:01 AM,%RH,100.34
19/1/24 9:41:01 AM,%RH,99.355
19/1/24 11:41:01 AM,%RH,91.763
19/1/24 1:41:01 PM,%RH,76.637
19/1/24 3:41:01 PM,%RH,88.098
19/1/24 5:41:01 PM,%RH,91.244
19/1/24 7:41:01 PM,%RH,96.361
19/1/24 9:41:01 PM,%RH,99.355
19/1/24 11:41:01 PM,%RH,98.86
20/1/24 1:41:01 AM,%RH,99.355
20/1/24 3:41:01 AM,%RH,96.864
20/1/24 5:41:01 AM,%RH,98.363
20/1/24 7:41:01 AM,%RH,98.86
20/1/24 9:41:01 AM,%RH,96.361
20/1/24 11:41:01 AM,%RH,89.153
20/1/24 1:41:01 PM,%RH,83.272
20/1/24 3:41:01 PM,%RH,88.098
20/1/24 5:41:01 PM,%RH,92.28
20/1/24 7:41:01 PM,%RH,94.842
20/1/24 9:41:01 PM,%RH,97.365
20/1/24 11:41:01 PM,%RH,96.864
21/1/24 1:41:01 AM,%RH,99.849
21/1/24 3:41:01 AM,%RH,100.34
21/1/24 5:41:01 AM,%RH,99.849
21/1/24 7:41:01 AM,%RH,100.831
21/1/24 9:41:01 AM,%RH,97.865
21/1/24 11:41:01 AM,%RH,87.036
21/1/24 1:41:01 PM,%RH,69.193
21/1/24 3:41:01 PM,%RH,84.355
21/1/24 5:41:01 PM,%RH,85.432
21/1/24 7:41:01 PM,%RH,95.856
21/1/24 9:41:01 PM,%RH,98.86
21/1/24 11:41:01 PM,%RH,99.849
22/1/24 1:41:01 AM,%RH,99.355
22/1/24 3:41:01 AM,%RH,96.864
22/1/24 5:41:01 AM,%RH,99.355
22/1/24 7:41:01 AM,%RH,101.32
22/1/24 9:41:01 AM,%RH,94.842
22/1/24 11:41:01 AM,%RH,79.983
22/1/24 1:41:01 PM,%RH,83.272
22/1/24 3:41:01 PM,%RH,86.503
22/1/24 5:41:01 PM,%RH,85.969
22/1/24 7:41:01 PM,%RH,95.856
22/1/24 9:41:01 PM,%RH,97.365
22/1/24 11:41:01 PM,%RH,96.864
23/1/24 1:41:01 AM,%RH,99.849
23/1/24 3:41:01 AM,%RH,99.355
23/1/24 5:41:01 AM,%RH,100.34
23/1/24 7:41:01 AM,%RH,96.361
23/1/24 9:41:01 AM,%RH,91.244
23/1/24 11:41:01 AM,%RH,79.429
23/1/24 1:41:01 PM,%RH,77.199
23/1/24 3:41:01 PM,%RH,84.895
23/1/24 5:41:01 PM,%RH,88.098
23/1/24 7:41:01 PM,%RH,91.244
23/1/24 9:41:01 PM,%RH,92.796
23/1/24 11:41:01 PM,%RH,91.763
24/1/24 1:41:01 AM,%RH,95.856
24/1/24 3:41:01 AM,%RH,93.822
24/1/24 5:41:01 AM,%RH,90.723
24/1/24 7:41:01 AM,%RH,89.153
24/1/24 9:41:01 AM,%RH,82.727
24/1/24 11:41:01 AM,%RH,73.806
24/1/24 1:41:01 PM,%RH,75.51
24/1/24 3:41:01 PM,%RH,76.074
24/1/24 5:41:01 PM,%RH,79.429
24/1/24 7:41:01 PM,%RH,91.763
24/1/24 9:41:01 PM,%RH,92.28
24/1/24 11:41:01 PM,%RH,95.35
25/1/24 1:41:01 AM,%RH,72.662
25/1/24 3:41:01 AM,%RH,74.943
25/1/24 5:41:01 AM,%RH,84.895
25/1/24 7:41:01 AM,%RH,88.098
25/1/24 9:41:01 AM,%RH,89.153
25/1/24 11:41:01 AM,%RH,77.199
25/1/24 1:41:01 PM,%RH,79.429
25/1/24 3:41:01 PM,%RH,80.535
25/1/24 5:41:01 PM,%RH,87.036
25/1/24 7:41:01 PM,%RH,93.822
25/1/24 9:41:01 PM,%RH,96.361
25/1/24 11:41:01 PM,%RH,96.864
26/1/24 1:41:01 AM,%RH,97.865
26/1/24 3:41:01 AM,%RH,93.822
26/1/24 5:41:01 AM,%RH,95.856
26/1/24 7:41:01 AM,%RH,97.865
26/1/24 9:41:01 AM,%RH,93.822
26/1/24 11:41:01 AM,%RH,78.317
26/1/24 1:41:01 PM,%RH,67.437
26/1/24 3:41:01 PM,%RH,62.084
26/1/24 5:41:01 PM,%RH,75.51
26/1/24 7:41:01 PM,%RH,87.568
26/1/24 9:41:01 PM,%RH,93.31
26/1/24 11:41:01 PM,%RH,87.568
27/1/24 1:41:01 AM,%RH,80.535
27/1/24 3:41:01 AM,%RH,78.317
27/1/24 5:41:01 AM,%RH,87.568
27/1/24 7:41:01 AM,%RH,92.28
27/1/24 9:41:01 AM,%RH,92.796
27/1/24 11:41:01 AM,%RH,69.193
27/1/24 1:41:01 PM,%RH,62.084
27/1/24 3:41:01 PM,%RH,53.502
27/1/24 5:41:01 PM,%RH,67.437
27/1/24 7:41:01 PM,%RH,74.375
27/1/24 9:41:01 PM,%RH,77.759
27/1/24 11:41:01 PM,%RH,79.429
28/1/24 1:41:01 AM,%RH,77.199
28/1/24 3:41:01 AM,%RH,89.153
28/1/24 5:41:01 AM,%RH,93.31
28/1/24 7:41:01 AM,%RH,98.363
28/1/24 9:41:01 AM,%RH,95.35
28/1/24 11:41:01 AM,%RH,68.609
28/1/24 1:41:01 PM,%RH,66.259
28/1/24 3:41:01 PM,%RH,62.685
28/1/24 5:41:01 PM,%RH,72.088
28/1/24 7:41:01 PM,%RH,82.182
28/1/24 9:41:01 PM,%RH,88.626
28/1/24 11:41:01 PM,%RH,92.796
29/1/24 1:41:01 AM,%RH,88.098
29/1/24 3:41:01 AM,%RH,83.814
29/1/24 5:41:01 AM,%RH,87.568
29/1/24 7:41:01 AM,%RH,90.723
29/1/24 9:41:01 AM,%RH,90.723
29/1/24 11:41:01 AM,%RH,80.535
29/1/24 1:41:01 PM,%RH,73.806
29/1/24 3:41:01 PM,%RH,73.235
29/1/24 5:41:01 PM,%RH,81.634
29/1/24 7:41:01 PM,%RH,87.036
29/1/24 9:41:01 PM,%RH,90.201
29/1/24 11:41:01 PM,%RH,88.098
30/1/24 1:41:01 AM,%RH,77.759
30/1/24 3:41:01 AM,%RH,72.662
30/1/24 5:41:01 AM,%RH,79.983
30/1/24 7:41:01 AM,%RH,87.036
30/1/24 9:41:01 AM,%RH,88.626
30/1/24 11:41:01 AM,%RH,69.775
30/1/24 1:41:01 PM,%RH,68.024
30/1/24 3:41:01 PM,%RH,72.662
30/1/24 5:41:01 PM,%RH,73.806
30/1/24 7:41:01 PM,%RH,76.074
30/1/24 9:41:01 PM,%RH,92.796
30/1/24 11:41:01 PM,%RH,86.503
31/1/24 1:41:01 AM,%RH,88.098
31/1/24 3:41:01 AM,%RH,85.969
31/1/24 5:41:01 AM,%RH,87.568
31/1/24 7:41:01 AM,%RH,90.201
31/1/24 9:41:01 AM,%RH,80.535
31/1/24 11:41:01 AM,%RH,68.024
31/1/24 1:41:01 PM,%RH,65.667
31/1/24 3:41:01 PM,%RH,65.074
31/1/24 5:41:01 PM,%RH,72.662
31/1/24 7:41:01 PM,%RH,78.874
31/1/24 9:41:01 PM,%RH,85.432
31/1/24 11:41:01 PM,%RH,94.842
1/2/24 1:41:01 AM,%RH,94.842
1/2/24 3:41:01 AM,%RH,93.31
1/2/24 5:41:01 AM,%RH,86.503
1/2/24 7:41:01 AM,%RH,89.153
1/2/24 9:41:01 AM,%RH,78.874
1/2/24 11:41:01 AM,%RH,69.775
1/2/24 1:41:01 PM,%RH,73.806
1/2/24 3:41:01 PM,%RH,73.806
1/2/24 5:41:01 PM,%RH,78.317
1/2/24 7:41:01 PM,%RH,89.153
1/2/24 9:41:01 PM,%RH,93.822
1/2/24 11:41:01 PM,%RH,94.333
2/2/24 1:41:01 AM,%RH,93.822
2/2/24 3:41:01 AM,%RH,91.244
2/2/24 5:41:01 AM,%RH,95.856
2/2/24 7:41:01 AM,%RH,93.822
2/2/24 9:41:01 AM,%RH,85.432
2/2/24 11:41:01 AM,%RH,66.849
2/2/24 1:41:01 PM,%RH,73.235
2/2/24 3:41:01 PM,%RH,69.775
2/2/24 5:41:01 PM,%RH,78.317
2/2/24 7:41:01 PM,%RH,91.763
2/2/24 9:41:01 PM,%RH,96.361
2/2/24 11:41:01 PM,%RH,94.333
3/2/24 1:41:01 AM,%RH,91.763
3/2/24 3:41:01 AM,%RH,84.355
3/2/24 5:41:01 AM,%RH,88.626
3/2/24 7:41:01 AM,%RH,86.503
3/2/24 9:41:01 AM,%RH,85.969
3/2/24 11:41:01 AM,%RH,74.375
3/2/24 1:41:01 PM,%RH,77.199
3/2/24 3:41:01 PM,%RH,81.634
3/2/24 5:41:01 PM,%RH,83.814
3/2/24 7:41:01 PM,%RH,91.763
3/2/24 9:41:01 PM,%RH,94.842
3/2/24 11:41:01 PM,%RH,94.842
4/2/24 1:41:01 AM,%RH,94.842
4/2/24 3:41:01 AM,%RH,91.244
4/2/24 5:41:01 AM,%RH,92.796
4/2/24 7:41:01 AM,%RH,91.763
4/2/24 9:41:01 AM,%RH,90.723
4/2/24 11:41:01 AM,%RH,82.182
4/2/24 1:41:01 PM,%RH,75.51
4/2/24 3:41:01 PM,%RH,63.285
4/2/24 5:41:01 PM,%RH,78.874
4/2/24 7:41:01 PM,%RH,94.333
4/2/24 9:41:01 PM,%RH,96.864
4/2/24 11:41:01 PM,%RH,97.865
5/2/24 1:41:01 AM,%RH,95.35
5/2/24 3:41:01 AM,%RH,92.796
5/2/24 5:41:01 AM,%RH,93.822
5/2/24 7:41:01 AM,%RH,85.969
5/2/24 9:41:01 AM,%RH,90.723
5/2/24 11:41:01 AM,%RH,61.482
5/2/24 1:41:01 PM,%RH,58.444
5/2/24 3:41:01 PM,%RH,51.623
5/2/24 5:41:01 PM,%RH,67.437
5/2/24 7:41:01 PM,%RH,81.086
5/2/24 9:41:01 PM,%RH,95.35
5/2/24 11:41:01 PM,%RH,96.361
6/2/24 1:41:01 AM,%RH,95.856
6/2/24 3:41:01 AM,%RH,92.796
6/2/24 5:41:01 AM,%RH,91.244
6/2/24 7:41:01 AM,%RH,87.036
6/2/24 9:41:01 AM,%RH,82.182
6/2/24 11:41:01 AM,%RH,61.482
6/2/24 1:41:01 PM,%RH,41.359
6/2/24 3:41:01 PM,%RH,34.068
6/2/24 5:41:01 PM,%RH,54.126
6/2/24 7:41:01 PM,%RH,72.088
6/2/24 9:41:01 PM,%RH,90.201
6/2/24 11:41:01 PM,%RH,88.626
7/2/24 1:41:01 AM,%RH,83.814
7/2/24 3:41:01 AM,%RH,81.634
7/2/24 5:41:01 AM,%RH,75.51
7/2/24 7:41:01 AM,%RH,84.355
7/2/24 9:41:01 AM,%RH,68.609
7/2/24 11:41:01 AM,%RH,46.542
7/2/24 1:41:01 PM,%RH,42.013
7/2/24 3:41:01 PM,%RH,34.068
7/2/24 5:41:01 PM,%RH,63.883
7/2/24 7:41:01 PM,%RH,78.317
7/2/24 9:41:01 PM,%RH,87.036
7/2/24 11:41:01 PM,%RH,81.634
8/2/24 1:41:01 AM,%RH,87.568
8/2/24 3:41:01 AM,%RH,85.432
8/2/24 5:41:01 AM,%RH,85.432
8/2/24 7:41:01 AM,%RH,84.895
8/2/24 9:41:01 AM,%RH,76.637
8/2/24 11:41:01 AM,%RH,50.362
8/2/24 1:41:01 PM,%RH,50.362
8/2/24 3:41:01 PM,%RH,70.356
8/2/24 5:41:01 PM,%RH,74.943
8/2/24 7:41:01 PM,%RH,87.568
8/2/24 9:41:01 PM,%RH,89.153
8/2/24 11:41:01 PM,%RH,85.432
9/2/24 1:41:01 AM,%RH,81.086
9/2/24 3:41:01 AM,%RH,85.432
9/2/24 5:41:01 AM,%RH,86.503
9/2/24 7:41:01 AM,%RH,76.637
9/2/24 9:41:01 AM,%RH,83.272
9/2/24 11:41:01 AM,%RH,62.084
9/2/24 1:41:01 PM,%RH,54.747
9/2/24 3:41:01 PM,%RH,68.024
9/2/24 5:41:01 PM,%RH,79.429
9/2/24 7:41:01 PM,%RH,87.568
9/2/24 9:41:01 PM,%RH,96.361
9/2/24 11:41:01 PM,%RH,96.361
10/2/24 1:41:01 AM,%RH,94.333
10/2/24 3:41:01 AM,%RH,92.796
10/2/24 5:41:01 AM,%RH,93.822
10/2/24 7:41:01 AM,%RH,95.35
10/2/24 9:41:01 AM,%RH,89.678
10/2/24 11:41:01 AM,%RH,70.935
10/2/24 1:41:01 PM,%RH,49.095
10/2/24 3:41:01 PM,%RH,39.39
10/2/24 5:41:01 PM,%RH,74.375
10/2/24 7:41:01 PM,%RH,92.28
10/2/24 9:41:01 PM,%RH,96.361
10/2/24 11:41:01 PM,%RH,96.864
11/2/24 1:41:01 AM,%RH,97.865
11/2/24 3:41:01 AM,%RH,96.864
11/2/24 5:41:01 AM,%RH,97.365
11/2/24 7:41:01 AM,%RH,95.856
11/2/24 9:41:01 AM,%RH,95.856
11/2/24 11:41:01 AM,%RH,72.662
11/2/24 1:41:01 PM,%RH,52.251
11/2/24 3:41:01 PM,%RH,40.048
11/2/24 5:41:01 PM,%RH,54.126
11/2/24 7:41:01 PM,%RH,73.806
11/2/24 9:41:01 PM,%RH,84.355
11/2/24 11:41:01 PM,%RH,84.355
12/2/24 1:41:01 AM,%RH,85.432
12/2/24 3:41:01 AM,%RH,89.678
12/2/24 5:41:01 AM,%RH,84.895
12/2/24 7:41:01 AM,%RH,91.763
12/2/24 9:41:01 AM,%RH,73.806
12/2/24 11:41:01 AM,%RH,49.095
12/2/24 1:41:01 PM,%RH,35.408
12/2/24 3:41:01 PM,%RH,25.896
12/2/24 5:41:01 PM,%RH,42.013
12/2/24 7:41:01 PM,%RH,77.199
12/2/24 9:41:01 PM,%RH,88.098
12/2/24 11:41:01 PM,%RH,89.678
13/2/24 1:41:01 AM,%RH,84.895
13/2/24 3:41:01 AM,%RH,87.036
13/2/24 5:41:01 AM,%RH,90.201
13/2/24 7:41:01 AM,%RH,93.822
13/2/24 9:41:01 AM,%RH,83.272
13/2/24 11:41:01 AM,%RH,63.285
13/2/24 1:41:01 PM,%RH,39.39
13/2/24 3:41:01 PM,%RH,34.739
13/2/24 5:41:01 PM,%RH,63.285
13/2/24 7:41:01 PM,%RH,80.535
13/2/24 9:41:01 PM,%RH,89.678
13/2/24 11:41:01 PM,%RH,84.895
14/2/24 1:41:01 AM,%RH,87.036
14/2/24 3:41:01 AM,%RH,90.201
14/2/24 5:41:01 AM,%RH,84.895
14/2/24 7:41:01 AM,%RH,88.626
14/2/24 9:41:01 AM,%RH,90.201
14/2/24 11:41:01 AM,%RH,59.664
14/2/24 1:41:01 PM,%RH,48.459
14/2/24 3:41:01 PM,%RH,36.742
14/2/24 5:41:01 PM,%RH,64.479
14/2/24 7:41:01 PM,%RH,88.098
14/2/24 9:41:01 PM,%RH,91.763
14/2/24 11:41:01 PM,%RH,93.822
15/2/24 1:41:01 AM,%RH,95.35
15/2/24 3:41:01 AM,%RH,93.822
15/2/24 5:41:01 AM,%RH,95.856
15/2/24 7:41:01 AM,%RH,89.153
15/2/24 9:41:01 AM,%RH,87.568
15/2/24 11:41:01 AM,%RH,72.088
15/2/24 1:41:01 PM,%RH,51.623
15/2/24 3:41:01 PM,%RH,52.251
15/2/24 5:41:01 PM,%RH,55.367
15/2/24 7:41:01 PM,%RH,77.199
15/2/24 9:41:01 PM,%RH,83.272
15/2/24 11:41:01 PM,%RH,92.796
16/2/24 1:41:01 AM,%RH,89.678
16/2/24 3:41:01 AM,%RH,79.429
16/2/24 5:41:01 AM,%RH,85.432
16/2/24 7:41:01 AM,%RH,87.036
16/2/24 9:41:01 AM,%RH,80.535
16/2/24 11:41:01 AM,%RH,57.832
16/2/24 1:41:01 PM,%RH,41.359
16/2/24 3:41:01 PM,%RH,41.359
16/2/24 5:41:01 PM,%RH,53.502
16/2/24 7:41:01 PM,%RH,67.437
16/2/24 9:41:01 PM,%RH,89.153
16/2/24 11:41:01 PM,%RH,94.333
17/2/24 1:41:01 AM,%RH,91.244
17/2/24 3:41:01 AM,%RH,93.31
17/2/24 5:41:01 AM,%RH,92.796
17/2/24 7:41:01 AM,%RH,92.796
17/2/24 9:41:01 AM,%RH,87.036
17/2/24 11:41:01 AM,%RH,69.775
17/2/24 1:41:01 PM,%RH,49.729
17/2/24 3:41:01 PM,%RH,51.623
17/2/24 5:41:01 PM,%RH,73.235
17/2/24 7:41:01 PM,%RH,86.503
17/2/24 9:41:01 PM,%RH,93.822
17/2/24 11:41:01 PM,%RH,95.856
18/2/24 1:41:01 AM,%RH,97.865
18/2/24 3:41:01 AM,%RH,97.865
18/2/24 5:41:01 AM,%RH,97.365
18/2/24 7:41:01 AM,%RH,94.842
18/2/24 9:41:01 AM,%RH,91.244
18/2/24 11:41:01 AM,%RH,77.199
18/2/24 1:41:01 PM,%RH,74.375
18/2/24 3:41:01 PM,%RH,73.806
18/2/24 5:41:01 PM,%RH,78.874
18/2/24 7:41:01 PM,%RH,85.969
18/2/24 9:41:01 PM,%RH,95.35
18/2/24 11:41:01 PM,%RH,95.856
19/2/24 1:41:01 AM,%RH,97.865
19/2/24 3:41:01 AM,%RH,94.842
19/2/24 5:41:01 AM,%RH,94.842
19/2/24 7:41:01 AM,%RH,94.333
19/2/24 9:41:01 AM,%RH,91.244
19/2/24 11:41:01 AM,%RH,76.637
19/2/24 1:41:01 PM,%RH,70.935
19/2/24 3:41:01 PM,%RH,73.235
19/2/24 5:41:01 PM,%RH,73.806
19/2/24 7:41:01 PM,%RH,89.153
19/2/24 9:41:01 PM,%RH,94.842
19/2/24 11:41:01 PM,%RH,95.856
20/2/24 1:41:01 AM,%RH,89.678
20/2/24 3:41:01 AM,%RH,95.856
20/2/24 5:41:01 AM,%RH,97.865
20/2/24 7:41:01 AM,%RH,99.355
20/2/24 9:41:01 AM,%RH,94.333
20/2/24 11:41:01 AM,%RH,74.943
20/2/24 1:41:01 PM,%RH,73.806
20/2/24 3:41:01 PM,%RH,78.317
20/2/24 5:41:01 PM,%RH,79.983
20/2/24 7:41:01 PM,%RH,91.763
20/2/24 9:41:01 PM,%RH,95.35
20/2/24 11:41:01 PM,%RH,97.365
21/2/24 1:41:01 AM,%RH,100.34
21/2/24 3:41:01 AM,%RH,99.355
21/2/24 5:41:01 AM,%RH,98.363
21/2/24 7:41:01 AM,%RH,100.34
21/2/24 9:41:01 AM,%RH,94.842
21/2/24 11:41:01 AM,%RH,75.51
21/2/24 1:41:01 PM,%RH,79.983
21/2/24 3:41:01 PM,%RH,79.429
21/2/24 5:41:01 PM,%RH,79.983
21/2/24 7:41:01 PM,%RH,88.098
21/2/24 9:41:01 PM,%RH,94.333
21/2/24 11:41:01 PM,%RH,96.361
22/2/24 1:41:01 AM,%RH,98.363
22/2/24 3:41:01 AM,%RH,97.365
22/2/24 5:41:01 AM,%RH,99.849
22/2/24 7:41:01 AM,%RH,98.86
22/2/24 9:41:01 AM,%RH,89.678
22/2/24 11:41:01 AM,%RH,65.667
22/2/24 1:41:01 PM,%RH,67.437
22/2/24 3:41:01 PM,%RH,70.356
22/2/24 5:41:01 PM,%RH,69.775
22/2/24 7:41:01 PM,%RH,85.969
22/2/24 9:41:01 PM,%RH,94.842
22/2/24 11:41:01 PM,%RH,88.626
23/2/24 1:41:01 AM,%RH,90.201
23/2/24 3:41:01 AM,%RH,83.272
23/2/24 5:41:01 AM,%RH,57.832
23/2/24 7:41:01 AM,%RH,53.502
23/2/24 9:41:01 AM,%RH,57.218
23/2/24 11:41:01 AM,%RH,54.126
23/2/24 1:41:01 PM,%RH,52.878
23/2/24 3:41:01 PM,%RH,54.747
23/2/24 5:41:01 PM,%RH,62.084
23/2/24 7:41:01 PM,%RH,84.355
23/2/24 9:41:01 PM,%RH,92.28
23/2/24 11:41:01 PM,%RH,93.31
24/2/24 1:41:01 AM,%RH,89.153
24/2/24 3:41:01 AM,%RH,80.535
24/2/24 5:41:01 AM,%RH,70.356
24/2/24 7:41:01 AM,%RH,70.356
24/2/24 9:41:01 AM,%RH,72.662
24/2/24 11:41:01 AM,%RH,63.883
24/2/24 1:41:01 PM,%RH,57.218
24/2/24 3:41:01 PM,%RH,58.444
24/2/24 5:41:01 PM,%RH,64.479
24/2/24 7:41:01 PM,%RH,88.098
24/2/24 9:41:01 PM,%RH,95.35
24/2/24 11:41:01 PM,%RH,95.856
25/2/24 1:41:01 AM,%RH,84.895
25/2/24 3:41:01 AM,%RH,73.806
25/2/24 5:41:01 AM,%RH,87.036
25/2/24 7:41:01 AM,%RH,88.098
25/2/24 9:41:01 AM,%RH,87.036
25/2/24 11:41:01 AM,%RH,82.727
25/2/24 1:41:01 PM,%RH,77.759
25/2/24 3:41:01 PM,%RH,83.272
25/2/24 5:41:01 PM,%RH,82.727
25/2/24 7:41:01 PM,%RH,89.678
25/2/24 9:41:01 PM,%RH,94.333
25/2/24 11:41:01 PM,%RH,96.361
26/2/24 1:41:01 AM,%RH,95.856
26/2/24 3:41:01 AM,%RH,95.856
26/2/24 5:41:01 AM,%RH,94.842
26/2/24 7:41:01 AM,%RH,90.723
26/2/24 9:41:01 AM,%RH,90.201
26/2/24 11:41:01 AM,%RH,72.662
26/2/24 1:41:01 PM,%RH,55.367
26/2/24 3:41:01 PM,%RH,49.729
26/2/24 5:41:01 PM,%RH,54.747
26/2/24 7:41:01 PM,%RH,85.432
26/2/24 9:41:01 PM,%RH,94.333
26/2/24 11:41:01 PM,%RH,94.842
27/2/24 1:41:01 AM,%RH,89.678
27/2/24 3:41:01 AM,%RH,93.822
27/2/24 5:41:01 AM,%RH,96.361
27/2/24 7:41:01 AM,%RH,94.842
27/2/24 9:41:01 AM,%RH,87.568
27/2/24 11:41:01 AM,%RH,70.356
27/2/24 1:41:01 PM,%RH,49.729
27/2/24 3:41:01 PM,%RH,42.665
27/2/24 5:41:01 PM,%RH,72.088
27/2/24 7:41:01 PM,%RH,83.272
27/2/24 9:41:01 PM,%RH,93.822
27/2/24 11:41:01 PM,%RH,95.856
28/2/24 1:41:01 AM,%RH,93.822
28/2/24 3:41:01 AM,%RH,94.842
28/2/24 5:41:01 AM,%RH,93.31
28/2/24 7:41:01 AM,%RH,93.822
